iter	Logloss
0	0.6519416714
1	0.6156866529
2	0.5839288086
3	0.5540250994
4	0.5267397082
5	0.5025616769
6	0.4801596554
7	0.4598580721
8	0.4453985574
9	0.4299861614
10	0.4149150026
11	0.4032097448
12	0.3926337055
13	0.3821878442
14	0.3726107537
15	0.3631898822
16	0.3540987821
17	0.3452154889
18	0.3381262955
19	0.3315453901
20	0.3258468598
21	0.3201438875
22	0.3152683311
23	0.3106091189
24	0.3060140709
25	0.3015342828
26	0.2982444155
27	0.2953445048
28	0.2915803186
29	0.2879667924
30	0.2850200722
31	0.2822502299
32	0.2794225607
33	0.2769699796
34	0.2749723622
35	0.2720058453
36	0.2699439408
37	0.2675194943
38	0.2655521732
39	0.2632609554
40	0.2618814723
41	0.2600290508
42	0.2587281441
43	0.2573026625
44	0.2552914446
45	0.2534115719
46	0.252597292
47	0.2516547994
48	0.2506897085
49	0.2493072362
50	0.2483275217
51	0.2473275207
52	0.2463875271
53	0.245469837
54	0.2447741332
55	0.2439717928
56	0.2432269388
57	0.2423279253
58	0.2418265642
59	0.2404511563
60	0.2396446077
61	0.2386472157
62	0.2379540263
63	0.237346485
64	0.2369025651
65	0.2365676735
66	0.2351839368
67	0.2345720475
68	0.2340397642
69	0.2337046913
70	0.2334247731
71	0.2328400675
72	0.2324626804
73	0.2320931667
74	0.2315130211
75	0.23052869
76	0.2293666931
77	0.2291260878
78	0.2284758954
79	0.2280782319
80	0.2274235297
81	0.2265496543
82	0.226166265
83	0.2256311102
84	0.2253727407
85	0.2250330231
86	0.2240515914
87	0.2234659706
88	0.2231899941
89	0.2228153577
90	0.2225710509
91	0.2223651059
92	0.2221116169
93	0.2217718996
94	0.221535643
95	0.2213729756
96	0.2207191864
97	0.2203083496
98	0.2199915621
99	0.2197632733
100	0.2188096433
101	0.2186046077
102	0.2176426534
103	0.2174155686
104	0.2172813895
105	0.2168406574
106	0.2167099721
107	0.2163980913
108	0.2160328001
109	0.2156157257
110	0.2154837054
111	0.2152220417
112	0.2150115802
113	0.2147600553
114	0.2146382567
115	0.2145192062
116	0.2143639944
117	0.214191101
118	0.2140071607
119	0.2139254884
120	0.2137994495
121	0.2133617832
122	0.213258276
123	0.2130428096
124	0.2125412107
125	0.2123605811
126	0.2122400289
127	0.2119926182
128	0.2118638515
129	0.2117451449
130	0.2116732797
131	0.2115043195
132	0.2111477865
133	0.2109810269
134	0.2108793921
135	0.2100445615
136	0.2098706189
137	0.2097373868
138	0.2096068199
139	0.2094326377
140	0.2093046617
141	0.2091521352
142	0.2090501404
143	0.2089540733
144	0.2088993324
145	0.208780729
146	0.2086142852
147	0.2084221396
148	0.2081207804
149	0.20774952
150	0.2075978135
151	0.2075141662
152	0.2073418598
153	0.2069374477
154	0.2066660029
155	0.2065851597
156	0.2064188557
157	0.2063415721
158	0.2062101569
159	0.2060610016
160	0.2060031139
161	0.2059245682
162	0.2051476124
163	0.2050075871
164	0.2048811777
165	0.2048022957
166	0.204396404
167	0.2043530173
168	0.2041323505
169	0.2039454233
170	0.203629774
171	0.2034814442
172	0.2033622062
173	0.2033021968
174	0.2031624228
175	0.2029581593
176	0.202795608
177	0.2027100266
178	0.2024370614
179	0.2023772844
180	0.2022545532
181	0.2021912176
182	0.2020744818
183	0.201986403
184	0.201907497
185	0.201851459
186	0.2016754847
187	0.201565376
188	0.2014910225
189	0.2013861789
190	0.2012706547
191	0.2011750232
192	0.2010426836
193	0.2009248079
194	0.2007438895
195	0.2005872091
196	0.2004626897
197	0.2003284215
198	0.2002867644
199	0.2002178585
200	0.2001273302
201	0.1999768175
202	0.1996771555
203	0.1994442089
204	0.199389076
205	0.1993075416
206	0.1991738284
207	0.1989386804
208	0.1987628087
209	0.1987143868
210	0.1986326046
211	0.1984354575
212	0.1982592294
213	0.1980915556
214	0.1980120996
215	0.197898536
216	0.1978221112
217	0.1977049038
218	0.1975931393
219	0.1974751824
220	0.1973911329
221	0.197330267
222	0.1972749989
223	0.1970004828
224	0.1968567985
225	0.1966021656
226	0.1965293817
227	0.1963147494
228	0.1961863799
229	0.1960278826
230	0.1958263408
231	0.1957472022
232	0.1956368318
233	0.1955439416
234	0.1953887927
235	0.1953007497
236	0.1952053082
237	0.1946538619
238	0.1943823669
239	0.1941698963
240	0.1940708005
241	0.1940018293
242	0.193892023
243	0.1937525924
244	0.1936471777
245	0.1935156274
246	0.1934285214
247	0.1932095178
248	0.1931468771
249	0.193035039
250	0.1929519121
251	0.1929008691
252	0.1928623812
253	0.1926572392
254	0.1925717449
255	0.1922700671
256	0.192162464
257	0.1920593183
258	0.191482232
259	0.1913661714
260	0.1912935101
261	0.1908155326
262	0.1907189221
263	0.1905059649
264	0.1903897588
265	0.1903168079
266	0.1902268157
267	0.1898571083
268	0.1897790722
269	0.1896022773
270	0.1895651679
271	0.1894670392
272	0.1893814924
273	0.189129156
274	0.1890415226
275	0.1889945066
276	0.1889111238
277	0.1888280003
278	0.1887098363
279	0.1885787203
280	0.188519622
281	0.1884545998
282	0.1883798875
283	0.18828879
284	0.1881578337
285	0.1879028522
286	0.1878333365
287	0.1876726183
288	0.1874747624
289	0.1874324
290	0.1872636336
291	0.1871827802
292	0.187032267
293	0.1866598785
294	0.1862602119
295	0.1861125518
296	0.1860262804
297	0.1859253516
298	0.1858331905
299	0.1857259592
300	0.1855944308
301	0.1853357667
302	0.1851033644
303	0.18504195
304	0.1847457033
305	0.1846349557
306	0.1845208596
307	0.1844540997
308	0.1843546118
309	0.1842307114
310	0.1840989566
311	0.1839295765
312	0.1835086927
313	0.1831478464
314	0.1828582824
315	0.1825778985
316	0.1824618306
317	0.1823480367
318	0.1821354399
319	0.182040501
320	0.1819512706
321	0.1818007814
322	0.1816641249
323	0.1815543086
324	0.1813559212
325	0.1812850844
326	0.1811716133
327	0.1810711176
328	0.1809968159
329	0.1808765584
330	0.1807909944
331	0.1806578105
332	0.180644055
333	0.1805355001
334	0.1804804835
335	0.1804743137
336	0.1803929165
337	0.180322736
338	0.1802228175
339	0.1801498805
340	0.1800470553
341	0.1798031784
342	0.1797300516
343	0.1790008917
344	0.1789296854
345	0.1788375765
346	0.1787210701
347	0.1786298728
348	0.178544127
349	0.1785088743
350	0.1784060587
351	0.1783066138
352	0.1781355616
353	0.1780352929
354	0.1778253327
355	0.1777217105
356	0.1773510055
357	0.1772858598
358	0.177279561
359	0.1772300063
360	0.1772235826
361	0.1770625168
362	0.1769926713
363	0.1769250583
364	0.1766878038
365	0.1764365571
366	0.1763528202
367	0.1763509256
368	0.1762301932
369	0.1761602186
370	0.1760476818
371	0.1758486733
372	0.17579206
373	0.1756915451
374	0.1756485031
375	0.1755484797
376	0.1754726199
377	0.1749487934
378	0.1749115203
379	0.1747907403
380	0.1746883546
381	0.1746001458
382	0.1744951957
383	0.1744366705
384	0.1740880024
385	0.1740016777
386	0.1738922295
387	0.1737318242
388	0.1736458415
389	0.1735774904
390	0.1734829013
391	0.1734304755
392	0.1733455082
393	0.1733184764
394	0.1727908963
395	0.1726439306
396	0.1725978363
397	0.172454848
398	0.1721866326
399	0.172075991
400	0.1719990813
401	0.1719247609
402	0.1717985235
403	0.1717059632
404	0.1716185115
405	0.1714266633
406	0.1712241919
407	0.1711465885
408	0.171047227
409	0.1708846924
410	0.1706407095
411	0.1705404279
412	0.1704514215
413	0.1702421098
414	0.1700943976
415	0.1699329869
416	0.169802925
417	0.1696514299
418	0.1695920314
419	0.1695156056
420	0.1694120034
421	0.1693392192
422	0.1692155705
423	0.1690766198
424	0.1690356135
425	0.1689478139
426	0.168836919
427	0.1685723401
428	0.1685026376
429	0.1684231021
430	0.1683411356
431	0.1681730567
432	0.1678857775
433	0.1678042029
434	0.1676722102
435	0.1675666224
436	0.1674463159
437	0.1673600407
438	0.1672217804
439	0.1671555583
440	0.1671181988
441	0.1670192763
442	0.1669252977
443	0.1668647118
444	0.1667954483
445	0.1666988431
446	0.1665952316
447	0.1664602209
448	0.1663759209
449	0.1662432911
450	0.1661646084
451	0.1660880334
452	0.1660202576
453	0.1659273627
454	0.1658667724
455	0.1658237594
456	0.1658224706
457	0.1657353601
458	0.1656417349
459	0.1656059192
460	0.1655670425
461	0.1654970992
462	0.1654288428
463	0.1653606993
464	0.1653013668
465	0.1652978801
466	0.165282424
467	0.1652223222
468	0.1651489042
469	0.1651092619
470	0.1650484866
471	0.1649975642
472	0.1649657826
473	0.164914788
474	0.164816935
475	0.164760474
476	0.1647211753
477	0.1646838865
478	0.1646507764
479	0.1645999303
480	0.1645989943
481	0.1645845262
482	0.1645783165
483	0.1645262933
484	0.1645147281
485	0.1643863098
486	0.1642861091
487	0.1642468233
488	0.1641772601
489	0.1639825135
490	0.1639289746
491	0.1638291863
492	0.1635646447
493	0.1634977863
494	0.1634302752
495	0.1633517618
496	0.1632655866
497	0.1632342291
498	0.1631809729
499	0.1630639725
500	0.1629818089
501	0.1629001529
502	0.1627827597
503	0.162745541
504	0.1626577856
505	0.1626206931
506	0.1625848459
507	0.1625090654
508	0.1622226464
509	0.162127776
510	0.1620878521
511	0.1620262763
512	0.1619064271
513	0.1619041265
514	0.1615464289
515	0.1613604895
516	0.1612978178
517	0.1612376796
518	0.161000414
519	0.1609225669
520	0.1607741151
521	0.1606821398
522	0.1605665499
523	0.1604785741
524	0.1604170387
525	0.1603287101
526	0.160189626
527	0.1601437287
528	0.160068589
529	0.1599482452
530	0.1599255881
531	0.159867103
532	0.1598139974
533	0.1597877661
534	0.1596273853
535	0.159593045
536	0.1594957001
537	0.1594277327
538	0.1593556594
539	0.1592894723
540	0.1591192363
541	0.1590106591
542	0.1589389914
543	0.1588375515
544	0.1588367597
545	0.1587718476
546	0.1587014549
547	0.1586594622
548	0.158643321
549	0.1585705164
550	0.1585548338
551	0.1584950467
552	0.1584105518
553	0.1583699288
554	0.15832228
555	0.1581682655
556	0.1581446041
557	0.1580663554
558	0.1579813266
559	0.157925412
560	0.1578223555
561	0.1577155915
562	0.1576664753
563	0.1573449986
564	0.1572817832
565	0.157212443
566	0.1571482027
567	0.1570915536
568	0.1570271382
569	0.1570116526
570	0.1569465578
571	0.1568919634
572	0.1567603434
573	0.1566842043
574	0.1566285177
575	0.1565162493
576	0.1564405226
577	0.1564275638
578	0.1562704953
579	0.1562044965
580	0.1562001324
581	0.1560968439
582	0.1559805925
583	0.1559246512
584	0.1556878382
585	0.1556443194
586	0.1555863251
587	0.1551762219
588	0.155114422
589	0.1550584495
590	0.1547885377
591	0.1546744361
592	0.1545181297
593	0.15448905
594	0.1543254397
595	0.1542449193
596	0.1541603429
597	0.1540997605
598	0.1538654598
599	0.1537875014
600	0.1537190012
601	0.1536357551
602	0.1535117263
603	0.1531350417
604	0.1530584673
605	0.1530068683
606	0.15295453
607	0.1528876342
