iter	Passed	Remaining
0	14	14576
1	31	15654
2	45	15132
3	59	14904
4	74	14803
5	90	15023
6	105	14925
7	119	14851
8	134	14864
9	150	14935
10	170	15343
11	186	15394
12	204	15514
13	225	15848
14	245	16092
15	267	16460
16	287	16636
17	306	16704
18	321	16625
19	339	16649
20	358	16700
21	373	16607
22	391	16650
23	408	16613
24	424	16569
25	440	16488
26	457	16493
27	478	16605
28	502	16822
29	522	16904
30	540	16884
31	559	16911
32	579	16992
33	601	17100
34	634	17490
35	682	18274
36	706	18383
37	726	18400
38	751	18516
39	775	18608
40	802	18779
41	824	18812
42	843	18762
43	859	18678
44	876	18595
45	892	18514
46	909	18435
47	925	18365
48	942	18300
49	959	18230
50	975	18143
51	991	18073
52	1007	18007
53	1026	17981
54	1042	17913
55	1063	17933
56	1080	17879
57	1098	17840
58	1113	17766
59	1129	17691
60	1146	17649
61	1158	17534
62	1175	17479
63	1195	17478
64	1211	17423
65	1226	17363
66	1244	17329
67	1261	17287
68	1278	17247
69	1294	17204
70	1313	17182
71	1329	17134
72	1344	17068
73	1360	17026
74	1378	17004
75	1392	16931
76	1409	16893
77	1424	16834
78	1442	16815
79	1455	16733
80	1470	16680
81	1490	16684
82	1506	16644
83	1522	16606
84	1538	16556
85	1553	16514
86	1570	16480
87	1585	16435
88	1603	16412
89	1617	16358
90	1631	16295
91	1647	16264
92	1665	16243
93	1682	16212
94	1697	16167
95	1711	16115
96	1724	16054
97	1738	16002
98	1756	15986
99	1772	15948
100	1788	15921
101	1801	15860
102	1818	15836
103	1833	15797
104	1848	15757
105	1863	15714
106	1877	15669
107	1893	15642
108	1909	15608
109	1926	15585
110	1942	15556
111	1960	15541
112	1975	15507
113	1989	15464
114	2005	15430
115	2019	15387
116	2035	15365
117	2052	15344
118	2072	15342
119	2090	15332
120	2108	15316
121	2123	15282
122	2138	15249
123	2155	15227
124	2167	15170
125	2180	15126
126	2196	15096
127	2209	15052
128	2223	15016
129	2239	14985
130	2253	14945
131	2265	14900
132	2281	14871
133	2296	14841
134	2312	14814
135	2327	14786
136	2342	14755
137	2358	14732
138	2375	14716
139	2392	14699
140	2408	14671
141	2423	14645
142	2439	14620
143	2455	14596
144	2469	14559
145	2483	14528
146	2497	14492
147	2511	14456
148	2526	14427
149	2541	14402
150	2557	14378
151	2571	14345
152	2584	14305
153	2600	14288
154	2616	14264
155	2631	14236
156	2647	14215
157	2663	14193
158	2676	14158
159	2690	14124
160	2705	14097
161	2719	14065
162	2733	14035
163	2746	14002
164	2759	13965
165	2774	13940
166	2789	13912
167	2803	13885
168	2817	13854
169	2832	13829
170	2846	13799
171	2860	13772
172	2873	13735
173	2886	13702
174	2901	13676
175	2915	13649
176	2929	13622
177	2943	13592
178	2956	13558
179	2970	13533
180	2983	13499
181	2998	13474
182	3013	13451
183	3026	13421
184	3039	13392
185	3054	13366
186	3067	13336
187	3082	13311
188	3099	13301
189	3115	13282
190	3128	13252
191	3142	13222
192	3155	13193
193	3167	13158
194	3181	13132
195	3195	13108
196	3208	13079
197	3221	13047
198	3233	13015
199	3246	12987
200	3261	12963
201	3273	12932
202	3285	12899
203	3297	12866
204	3310	12837
205	3324	12812
206	3338	12789
207	3352	12766
208	3367	12743
209	3379	12713
210	3393	12688
211	3406	12660
212	3419	12635
213	3433	12612
214	3445	12580
215	3458	12554
216	3472	12529
217	3489	12516
218	3504	12496
219	3520	12481
220	3535	12460
221	3549	12437
222	3562	12411
223	3575	12386
224	3590	12366
225	3605	12348
226	3619	12325
227	3634	12307
228	3650	12289
229	3663	12265
230	3677	12242
231	3691	12219
232	3704	12193
233	3717	12169
234	3733	12153
235	3750	12141
236	3768	12132
237	3782	12111
238	3796	12088
239	3813	12077
240	3830	12064
241	3846	12046
242	3862	12031
243	3876	12011
244	3890	11990
245	3904	11966
246	3919	11949
247	3936	11935
248	3954	11928
249	3970	11911
250	3985	11892
251	4001	11877
252	4014	11852
253	4028	11830
254	4042	11809
255	4055	11786
256	4068	11763
257	4084	11746
258	4103	11740
259	4119	11724
260	4134	11707
261	4148	11686
262	4166	11674
263	4182	11660
264	4199	11646
265	4213	11626
266	4228	11609
267	4246	11597
268	4262	11582
269	4277	11564
270	4291	11545
271	4307	11528
272	4322	11510
273	4338	11494
274	4356	11484
275	4371	11466
276	4386	11449
277	4403	11436
278	4416	11413
279	4430	11392
280	4443	11370
281	4457	11350
282	4473	11333
283	4488	11315
284	4503	11297
285	4515	11273
286	4529	11253
287	4543	11233
288	4558	11214
289	4574	11198
290	4589	11181
291	4603	11162
292	4616	11140
293	4629	11116
294	4643	11096
295	4657	11076
296	4671	11057
297	4684	11036
298	4699	11016
299	4715	11003
300	4730	10986
301	4743	10963
302	4757	10944
303	4771	10925
304	4785	10905
305	4799	10885
306	4812	10862
307	4826	10843
308	4840	10823
309	4853	10803
310	4868	10785
311	4883	10767
312	4900	10755
313	4912	10733
314	4930	10722
315	4945	10705
316	4961	10689
317	4974	10668
318	4986	10645
319	4998	10621
320	5010	10597
321	5021	10573
322	5036	10556
323	5052	10541
324	5067	10524
325	5081	10506
326	5097	10490
327	5112	10473
328	5128	10459
329	5141	10439
330	5156	10422
331	5169	10400
332	5184	10384
333	5197	10364
334	5212	10347
335	5224	10324
336	5236	10301
337	5247	10278
338	5261	10258
339	5275	10240
340	5287	10217
341	5298	10194
342	5310	10172
343	5324	10153
344	5335	10130
345	5347	10108
346	5359	10086
347	5373	10066
348	5385	10046
349	5398	10024
350	5409	10002
351	5422	9981
352	5434	9960
353	5446	9938
354	5458	9917
355	5471	9897
356	5484	9878
357	5496	9856
358	5509	9837
359	5522	9817
360	5533	9795
361	5546	9774
362	5557	9753
363	5569	9731
364	5582	9711
365	5593	9689
366	5606	9670
